code,name,bom_lines,total_qty,last_used
C01-1028-18-002,Swarovski PP#1028/18 Crystal,18800,7340019,2026-07-16
C01-1028-26-002,Swarovski PP#1028/26 Crystal,19188,4497897,2026-06-16
C01-8016-14-005,Swarovski Strass #8016/14 double hole Rosaline,19458,3044726,2025-10-16
C01-8016-14-007,Swarovski Strass #8016/14 double hole Bordeaux,23070,3037445,2025-10-16
C01-8016-14-002,Swarovski Strass #8016/14 double hole Crystal,12222,2668528,2025-10-17
C01-8016-14-001,Swarovski Strass #8016/14 double hole Medium Sapph,13175,2197281,2025-10-16
C01-1028-18-001,Swarovski PP#1028/18 Sapphire,2498,2184356,2026-06-16
C01-8016-14-004,Swarovski Strass #8016/14 dbl hole Antique Green,12730,1645795,2025-10-16
C01-8016-14-006,Swarovski Strass #8016/14 double hole Blue Violet,13836,1536513,2025-10-16
C01-1028-18-005,Swarovski PP#1028/18 Rose,3873,1473671,2026-07-16
C01-1028-18-020,Swarovski PP#1028/18 Peridot,2980,1357983,2025-12-16
C01-8016-14-011,Swarovski Strass #8016/14 double hole Violet,8857,1263979,2025-10-16
C01-1028-18-016,Swarovski PP#1028/18 Aquamarine,2674,1178457,2026-04-02
C01-1028-18-022,Swarovski PP#1028/18 Siam,3049,1172756,2026-06-16
C01-1028-18-008,Swarovski PP#1028/18 Emerald,3220,1169524,2026-06-16
C01-8016-14-009,Swarovski Strass #8016/14 double hole Topaz,10041,1138150,2025-10-16
C01-8016-14-013,Swarovski strass#8016/14 double hole Crystal BL.AB,7454,999883,2025-10-16
C01-8016-14-003,Swarovski Strass #8016/14 double hole Light Topaz,10938,991483,2026-07-16
C01-8016-14-010,Swarovski Strass#8016/14 double hole Light Peridot,8084,985573,2025-10-16
C01-1028-26-005,Swarovski PP#1028/26 Rose,3399,846718,2026-06-16
C01-1028-18-021,Swarovski PP#1028/18 Ruby,2374,768720,2026-03-19
C01-1028-26-021,Swarovski PP#1028/26 Ruby,2499,757352,2026-07-16
C01-1028-18-019,Swarovski PP#1028/18 Light Amethyst,2273,735286,2026-07-16
C01-1028-18-015,Swarovski PP#1028/18 Amethyst,2243,701405,2026-06-16
C01-1028-18-009,Swarovski PP#1028/18 Topaz,3128,690881,2026-06-16
C01-1028-18-037,Swarovski PP#1028/18 Light Rose,588,658036,2026-04-16
C01-1028-18-017,Swarovski PP#1028/18 Blue Zircon,2024,656844,2026-04-02
C01-8016-14-012,Swarovski Strass #8016/14 double hole Golden Teak,6560,645658,2026-06-16
C01-1028-18-025,Swarovski PP#1028/18 Capri Blue,1421,641165,2026-06-16
C01-8016-14-008,Swarovski Strass #8016/14 double hole Emerald,5166,598428,2025-10-16
C01-1028-26-020,Swarovski PP#1028/26 Peridot,2196,533638,2026-07-16
C01-1028-26-001,Swarovski PP#1028/26 Sapphire,1933,477688,2026-03-19
C01-1028-26-016,Swarovski PP#1028/26 Aquamarine,1933,450607,2026-07-16
C01-1028-26-019,Swarovski PP#1028/26 Light Amethyst,2307,430083,2026-07-16
C01-1028-26-008,Swarovski PP#1028/26 Emerald,1878,414512,2026-04-02
C01-1028-26-022,Swarovski PP#1028/26 Siam,2114,394194,2026-05-21
C01-1028-26-023,Swarovski PP#1028/26 Black Diamond,2079,390471,2026-06-15
C01-1028-26-009,Swarovski PP#1028/26 Topaz,2591,357986,2026-06-16
C01-1028-32-009,Swarovski PP#1028/32 Topaz,2398,317495,2026-06-16
C01-1028-18-024,Swarovski PP#1028/18 Light Colorado Topaz,1166,293220,2026-01-30
C01-1028-26-015,Swarovski PP#1028/26 Amethyst,1880,279276,2026-04-02
C01-8116-14-028,Swarovski Strass #8116/14 double hole  Dk Sapph,2242,277870,2025-09-30
C01-1028-32-001,Swarovski PP#1028/32 Sapphire,2028,250240,2026-06-16
C01-1028-32-002,Swarovski PP#1028/32 Crystal,1553,228559,2026-04-02
C01-801 114-002,Swarovski Spectra #8290/14 one hole Crystal,1037,228224,2025-09-30
C01-1028-26-013,Swarovski PP#1028/26 BL.AB,1603,224567,2025-12-15
C01-1028-26-017,Swarovski PP#1028/26 Blue Zircon,1681,222529,2026-04-02
C01-1028-32-021,Swarovski PP#1028/32 Ruby,2018,192177,2026-06-16
C01-1028-18-003,Swarovski PP#1028/18 Light Topaz,383,183226,2026-04-02
C01-1028-18-013,Swarovski PP#1028/18 AB.BL,863,180963,2026-04-02
C01-1028-26-024,Swarovski PP#1028/26 Light Colorado Topaz,706,151008,2026-05-21
BDC-8232-0014-002,Bohemia glass 8232/14(C1) double hole Crystal,602,140709,2026-06-16
C01-1028-32-005,Swarovski PP#1028/32 Rose,1467,134568,2025-10-17
C01-1028-32-025,Swarovski PP#1028/32 Capri Blue,1342,126564,2026-06-16
C01-1028-32-016,Swarovski PP#1028/32 Aquamarine,1192,123648,2026-06-16
C01-1028-18-023,Swarovski PP#1028/18 Black Diamond,761,118248,2026-01-30
C01-8115-14-004,Swarovski Strass #8115/14 one hole Antique Green,978,117541,2026-04-02
