C01-8016-14-005	Swarovski Strass #8016/14 double hole Rosaline	34071
C01-8016-14-007	Swarovski Strass #8016/14 double hole Bordeaux	30277
C01-8016-14-002	Swarovski Strass #8016/14 double hole Crystal	19383
C01-8016-14-001	Swarovski Strass #8016/14 double hole Medium Sapph	14064
C01-8016-14-004	Swarovski Strass #8016/14 dbl hole Antique Green	10371
C01-8016-14-006	Swarovski Strass #8016/14 double hole Blue Violet	16608
C01-8016-14-011	Swarovski Strass #8016/14 double hole Violet	26429
C01-8016-14-009	Swarovski Strass #8016/14 double hole Topaz	16605
C01-8016-14-013	Swarovski strass#8016/14 double hole Crystal BL.AB	41821
C01-8116-14-028	Swarovski Strass #8116/14 double hole  Dk Sapph	9788
C01-1028-26-017	Swarovski PP#1028/26 Blue Zircon	4101
C01-8016-18-002	Swarovski Strass #8016/18 double hole Crystal	7617
C01-1028-26-018	Swarovski PP#1028/26 Garnet	41
C01-8015-20-001	Swarovski Strass #8015/20 one hole Medium Sapphire	23966
C01-1028-32-020	Swarovski PP#1028/32 Peridot	16348
C01-1028-26-025	Swarovski PP#1028/26 Capri Blue	0
C01-1088-SS29-009	Swarovski SS#1088/SS29  TO	1492
