base_code,mix_code,crystal_item,family,size,suffix,qty_per_unit,erp_name
D0001-001-G,GX,BDC-8232-0014-003,BDC-8232,0014,003,2.0,Bohemia glass 8232/14(GO) double hole Amber
D0001-001-G,GX,BDC-8232-0014-012,BDC-8232,0014,012,2.0,Bohemia glass 8232/14(GT) double hole Golden Teak
D0001-001-G,M2,BDC-8232-0014-003,BDC-8232,0014,003,2.0,Bohemia glass 8232/14(GO) double hole Amber
D0001-001-G,M2,BDC-8232-0014-006,BDC-8232,0014,006,2.0,Bohemia glass 8232/14(PU) double hole BlueViolet
D0003-001-C,M4,BDC-8232-0014-011,BDC-8232,0014,011,2.0,Bohemia glass 8232/14(VL) double hole Violet
D0003-001-C,M4,C01-1028-18-015,C01-1028,18,015,2.0,Swarovski PP#1028/18 Amethyst
D0003-001-C,M4,C01-1028-18-020,C01-1028,18,020,8.0,Swarovski PP#1028/18 Peridot
D0003-001-G,M1,BDC-8232-0014-008,BDC-8232,0014,008,2.0,Bohemia glass 8232/14(EM) double hole Emerald
D0003-001-G,M1,C01-1028-18-008,C01-1028,18,008,2.0,Swarovski PP#1028/18 Emerald
D0003-001-G,M1,C01-1028-18-021,C01-1028,18,021,8.0,Swarovski PP#1028/18 Ruby
D0003-001-G,M2,BDC-8232-0014-009,BDC-8232,0014,009,2.0,Bohemia glass 8232/14(TO) double holeTopaz
D0003-001-G,M2,C01-1028-18-009,C01-1028,18,009,2.0,Swarovski PP#1028/18 Topaz
D0003-001-G,M2,C01-1028-18-017,C01-1028,18,017,8.0,Swarovski PP#1028/18 Blue Zircon
D0003-001-G,MX,BDC-8232-0014-002,BDC-8232,0014,002,2.0,Bohemia glass 8232/14(C1) double hole Crystal
D0003-001-G,MX,C01-1028-18-001,C01-1028,18,001,2.0,Swarovski PP#1028/18 Sapphire
D0003-001-G,MX,C01-1028-18-005,C01-1028,18,005,2.0,Swarovski PP#1028/18 Rose
D0003-001-G,MX,C01-1028-18-008,C01-1028,18,008,2.0,Swarovski PP#1028/18 Emerald
D0003-001-G,MX,C01-1028-18-009,C01-1028,18,009,2.0,Swarovski PP#1028/18 Topaz
D0003-001-G,MX,C01-1028-18-022,C01-1028,18,022,2.0,Swarovski PP#1028/18 Siam
D0006-001-C,AX,BDC-8232-0014-004,BDC-8232,0014,004,1.0,Bohemia glass 8232/14(GR) double hole Aquamarine
D0006-001-C,AX,BDC-8232-0014-013,BDC-8232,0014,013,1.0,Bohemia glass 8232/14(AB) double hole Blue AB
D0006-001-C,AX,C01-1028-18-002,C01-1028,18,002,2.0,Swarovski PP#1028/18 Crystal
D0006-001-C,MX,BDC-8232-0014-007,BDC-8232,0014,007,1.0,Bohemia glass 8232/14(RE) double hole Ruby
D0006-001-C,MX,BDC-8232-0014-008,BDC-8232,0014,008,1.0,Bohemia glass 8232/14(EM) double hole Emerald
D0006-001-C,MX,C01-1028-18-002,C01-1028,18,002,2.0,Swarovski PP#1028/18 Crystal
