id,code,name,current_colour,proposed_colour,source,colour_words
0B4uSwV5deafRuzTbLSg,BDC-3130-1414-005,Bohemia heart crystal #3130(14.4x14) Rosaline,PI,PI,name match,Rosaline
0FUaIKDpwJWmvsd0cUhh,BDC-8232-0014-005,Bohemia glass 8232/14(PI) double hole Rosaline,PI,PI,exact (code in ERP name),Rosaline
0GEtx8ilrr5NXCfnzP9h,C01-1028-18-001,Swarovski PP#1028/18 Sapphire,BL,BL,name match,Sapphire
0XtMuq7zdgrHcrdhcDgl,C01-8115-14-007,Swarovski Strass #8115/14 one hole Bordeaux,,RE,name match (alias),Bordeaux
1B0rGyFyRHUYAJBkbKoY,5203296,181943 01 223 502 234,,,,
1RslpiDgItLn9URdpuVH,C01-1028-24-018,Swarovski PP#1028/24 Garnet,,,,Garnet
1fk8pBpXWFXN0GYZbrge,C01-8116-14-038,Swarovski Strass#8016/14 double hole Golden Shadow,,,,Golden Shadow
1xGKdIpWGDrwLnUdolbo,5146971,Beads 181702 05 001AB 001GSHA,,,,Beads
26F8A2G5VPakSW44xETI,C01-1028-18-044,Swarovski PP#1028/18 Light Peach,,PE,suffix match — CHECK,Light Peach
2OpY7yI9wdA77HwMjTUl,BDC-8232-0014-008,Bohemia glass 8232/14(EM) double hole Emerald,EM,EM,exact (code in ERP name),Emerald
2V4kN98xFWJ931e8yfJd,C01-1028-18-009,Swarovski PP#1028/18 Topaz,TO,TO,name match,Topaz
2jSQi3LyjgLaYfN2wdvp,C01-1028-18-023,Swarovski PP#1028/18 Black Diamond,,,,Black Diamond
2wosLmP2aR67Ax6VHXqp,1184582,5948 MM 14.0 ROSALINE STEEL,,,,MM ROSALINE STEEL
39mgW4AcmdFB2X0uNpOZ,C01-1028-25-017,Swarovski PP#1028/25  Blue Zircon,,,,Blue Zircon
3gI3uqRC0Ywa4SVfDIMC,C01-1028-32-001,Swarovski PP#1028/32 Sapphire,BL,BL,name match,Sapphire
3qlCf3wp4bbFqaxtSqsQ,C01-8102-20-001,Swarovski Strass #8102/20 double hole medium Sapph,BL,BL,name match (alias),medium Sapph
3qsmyUN3oSI81OEYUG7g,C01-8102-20-002,Swarovski Strass #8102/20 double hole Crystal,C1,C1,name match (alias),Crystal
5Be4DR37T1JInm5ObjIg,C01-1028-18-019,Swarovski PP#1028/18 Light Amethyst,,,,Light Amethyst
5Qw7GYIGS7PSAWEzH85m,1184554,"5928 MM 14,0 SAPPHIRE STEEL",,,,"MM , SAPPHIRE STEEL"
5abPSUHnvZflHYoEI5Ri,C01-1088-18-002,Swarovski PP#1088/18 Crystal,C1,C1,name match (alias),Crystal
5hbFNwGJbkEHMBTgWAJs,BDC-8232-0014-003,Bohemia glass 8232/14(GO) double hole Amber,GO,GO,exact (code in ERP name),Amber
5iR37ylQwANHfN1lbGIk,C01-1028-24-040,Swarovski PP#1028/24 White Opal,,,,White Opal
5unUGYLSncI0Vr1iIA85,C01-1028-18-024,Swarovski PP#1028/18 Light Colorado Topaz,,TO,suffix match — CHECK,Light Colorado Topaz
5yeaZ3rGIZLNO3nZgPwD,C01-1028-26-002,Swarovski PP#1028/26 Crystal,C1,C1,name match (alias),Crystal
62kdRLNJFxIWh2XTjXZD,5155729,181722 01 001ANTP 001 SSHA,,,,SSHA
7DACdddTS14HOCLi7Eub,BDC-8232-0014-002,Bohemia glass 8232/14(C1) double hole Crystal,C1,C1,exact (code in ERP name),Crystal
8RfNTVa7KRtFhS9QyqoG,5135908,181504 39 001ROGL 362 227 208,,,,
8d6Qhv0X16MpU5IpOgrV,C01-1028-18-025,Swarovski PP#1028/18 Capri Blue,,,,Capri Blue
8lpAFkBOE5n4dMXbMceW,C01-1028-26-019,Swarovski PP#1028/26 Light Amethyst,,,,Light Amethyst
9cGWLy0FCFZ6dS84Eopw,C01-1028-18-016,Swarovski PP#1028/18 Aquamarine,GR,GR,name match,Aquamarine
9fkeN9NBQnDHBRbeX6Yu,1184549,"5948 MM 14,0 CRYSTAL STEEL",,,,"MM , CRYSTAL STEEL"
9wDdJvWdx3Qnd3Gvvw5q,5015361,Beads 180101 03 215,,,,Beads
AmxXrVpCCKX1EmF66zjX,C01-1028-18-020,Swarovski PP#1028/18 Peridot,,,,Peridot
Apzdk3BF7BmGSB3J1FPf,C01-801 114-002,Swarovski Spectra #8290/14 one hole Crystal,C1,C1,name match (alias),Crystal
Ax9GDJOxvcsRWaeNbXQE,5015397,Beads 180301 05 001GSHA,,,,Beads
AzWpMm1BFqsgHSLNZOkT,C01-1028-24-041,Swarovski PP#1028/24 Vintage Rose,,PI,suffix match — CHECK,Vintage Rose
B2yEOQzREs7zrtwa1hhx,C01-8016-14-012,Swarovski Strass #8016/14 double hole Golden Teak,GT,GT,name match,Golden Teak
ClZtChucQAqUypbdKcoD,C01-8115-14-004,Swarovski Strass #8115/14 one hole Antique Green,,GR,name match (alias),Antique Green
CyK61nYdmcxb6R1HdW1K,5169538,186522 MM14 01 234 001MOL H,,,,H
D1zvgimNp5N7HIqEyF8n,C01-1028-18-015,Swarovski PP#1028/18 Amethyst,,,,Amethyst
DIt926inpBVGnvzWKiIV,C01-1028-26-013,Swarovski PP#1028/26 BL.AB,AB,AB,name match (alias),BL.AB
DXHxOZkZp2BarkNuH6Gi,BDC-8232-0014-001,Bohemia glass 8232/14(BL) double hole Medium Sapph,BL,BL,exact (code in ERP name),Medium Sapph
Dhz8SxmhIZIFtpEq6F1u,C01-1028-18-037,Swarovski PP#1028/18 Light Rose,,PI,suffix match — CHECK,Light Rose
DzV8EmgAKTEszmA2ldnd,C01-1028-32-016,Swarovski PP#1028/32 Aquamarine,GR,GR,name match,Aquamarine
EXytqePp2RIcWfrONmpH,1177191,5890 MM 14.0 CRYSTAL GOLD.PRL STEEL,,,,MM CRYSTAL GOLD.PRL STEEL
FMKWGMIs9hvcOItnpo82,C01-1028-18-046,Swarovski PP#1028/18 Smoked Topaz,,TO,suffix match — CHECK,Smoked Topaz
FbpcxkH47lvTYpS7Awf2,C01-1028-32-013,Swarovski PP#1028/32  AB BL,AB,AB,name match (alias),AB BL
FoCgX9IBJm4qUv07Y0y8,C01-1028-26-022,Swarovski PP#1028/26 Siam,,,,Siam
Fy73jD8CmkqWyqN7oM3p,5238219,182013 26 203 246 225,,,,
G9rH69QOOUF8Rk9xXWdy,5040171,Beads 180401 02 280,,,,Beads
GE3PDF4qUX4tbSvlLk6o,C01-1088-SS29-002,Swarovski SS#1088/SS29  Crystal,C1,C1,name match (alias),Crystal
GnBfhxDxyVvaNxWfEvwj,C01-1028-32-025,Swarovski PP#1028/32 Capri Blue,,,,Capri Blue
GuzQ5BVPaOUGvA8s8KI6,C01-8115-14-005,Swarovski Strass #8115/14 one hole Rosaline,PI,PI,name match,Rosaline
H9zddlKYdt0UDnIn3t2x,5015388,Beads 180201 16 208,,,,Beads
HStJMHDu5apLx6KWmhgo,5203311,181922 17 207 001GSHA,,,,
HTULYs3GZCyxXQCBH4JY,C01-1080-18-002,Asfour #1080/18 double hole Crystal,C1,C1,name match (alias),Crystal
HluFgcMEmwRMSFH8FIU9,5015382,Beads 180201 02 280HEM,,,,Beads
J895zmU49l0kAeGXP1Xo,C01-8016-14-008,Swarovski Strass #8016/14 double hole Emerald,EM,EM,name match,Emerald
JXnSMvSlBI9uwmj2yOJI,5031415,Beads 180101 16 208,,,,Beads
Jbd3ckbObIAAEEmmMQwd,C01-1028-32-008,Swarovski PP#1028/32 Emerald,EM,EM,name match,Emerald
KYRa8Uxrdqxsjo9xCWrR,C01-1028-32-015,Swarovski PP#1028/32 Amethyst,,,,Amethyst
KjFlqNRGBYtpesVfaeN1,5040175,Beads 180401 20 001MLGLD,,,,Beads
KxbVFXmzaWJKtnkNoVbh,5015373,Beads 180101 09 204,,,,Beads
L2QpLkRmJmtiB9NuFI8a,BDC-8249-0014-001,Bohemia glass 8249/14(BL) double hole Medium Sapph,BL,BL,exact (code in ERP name),Medium Sapph
LOB1571ZA7mJRhlit29k,1177182,"5890 MM 14,0 CRYSTAL WHITE STEEL",,,,"MM , CRYSTAL WHITE STEEL"
LSeOCPYuNjpuLYVf41sq,C01-1028-26-021,Swarovski PP#1028/26 Ruby,RE,RE,name match,Ruby
MAnpH1U5lq4uRPussIss,1184587,"5948 MM 14,0 LIGHT SAPPHIRE STEEL",,,,"MM , LIGHT SAPPHIRE STEEL"
MJ4on370aGZllBkx0keY,5238226,182043 25 203 227 213,,,,
MJkBud4qdSQJezy7lhgG,C01-801 220-002,Swarovski spectra #8290/20 double hole Crystal,C1,C1,name match (alias),Crystal
MzKfAwzmc2jazSbJKFFd,C01-1028-32-026,Swarovski PP#1028/32 Chrysolite,,,,Chrysolite
MzxkzmWfiyGHuGXt1tQk,5015384,Beads 180201 05 001GSHA,,,,Beads
O9hR1mjqQB1aZRXFaKSI,BDC-8232-0014-007,Bohemia glass 8232/14(RE) double hole Ruby,RE,RE,exact (code in ERP name),Ruby
OzrPRjI6dSHsZRbFmcVC,BDC-8149-0014-001,Bohemia glass 8149/14(BL) one  hole Medium Sapph,BL,BL,name match (alias),Medium Sapph
PQugIkajhJWbZMtqXMyO,C01-1028-18-018,Swarovski PP#1028/18 Garnet,,,,Garnet
Q1JgEhLfU3Fzw40YR042,Z35472,Z35472 Fabric HT190525 010001COP,,,,Fabric
QQQLQnkKePT0CdvsmwZp,C01-1028-26-035,Swarovski PP#1028/26 Fuchsia,FU,FU,name match,Fuchsia
QgC4GKlpXowqGIROlbQW,C01-1028-18-003,Swarovski PP#1028/18 Light Topaz,GO,GO,name match,Light Topaz
R2JAsSB50UhLEZ9PPu3G,C01-1028-32-014,Swarovski PP#1028/32 Jet,,,,Jet
RHQziMqYndt1XgTVA5is,C01-1028-32-002,Swarovski PP#1028/32 Crystal,C1,C1,name match (alias),Crystal
Rk81Kg5ipHqHcqlckOni,5186188,181902 01 001ROGL 234,,,,
SPJInG0zFc5P1Xu33Qu2,C01-8115-14-012,Swarovski Strass #815/14 one hole Golden Teak,GT,GT,name match,Golden Teak
SQGl0c3dN5Olk2BSzYkq,BDC-3130-1414-002,Bohemia heart crystal #3130(14.4x14) Crystal,C1,C1,name match (alias),Crystal
STi5GNqBIDEu3NeV8K71,BDC-8232-0014-012,Bohemia glass 8232/14(GT) double hole Golden Teak,GT,GT,exact (code in ERP name),Golden Teak
Sui2CqqpkWi5FMDFDhxQ,C01-1028-26-008,Swarovski PP#1028/26 Emerald,EM,EM,name match,Emerald
T3lCJubpinllxPLpEu8G,C01-1028-18-041,Swarovski PP#1028/18 Vintage Rose,,PI,suffix match — CHECK,Vintage Rose
TyXa6OLVw4fgL0izDETI,C01-1080-14-002,Asfour #1080/14 double hole Crystal,C1,C1,name match (alias),Crystal
