family,size,suffix,app_code,match_source,colour_words,erp_name,ambiguous
BDC-3130,1414,002,C1,name match (alias),Crystal,Bohemia heart crystal #3130(14.4x14) Crystal,
BDC-3130,1414,005,PI,name match,Rosaline,Bohemia heart crystal #3130(14.4x14) Rosaline,
BDC-3130,1414,013,AB,name match (alias),Blue AB,Bohemia heart crystal #3130(14.4x14) Blue AB,
BDC-8232,0014,001,BL,exact (code in ERP name),Medium Sapph,Bohemia glass 8232/14(BL) double hole Medium Sapph,
BDC-8232,0014,002,C1,exact (code in ERP name),Crystal,Bohemia glass 8232/14(C1) double hole Crystal,
BDC-8232,0014,003,GO,exact (code in ERP name),Amber,Bohemia glass 8232/14(GO) double hole Amber,
BDC-8232,0014,004,GR,exact (code in ERP name),Aquamarine,Bohemia glass 8232/14(GR) double hole Aquamarine,
BDC-8232,0014,005,PI,exact (code in ERP name),Rosaline,Bohemia glass 8232/14(PI) double hole Rosaline,
BDC-8232,0014,006,PU,exact (code in ERP name),BlueViolet,Bohemia glass 8232/14(PU) double hole BlueViolet,
BDC-8232,0014,007,RE,exact (code in ERP name),Ruby,Bohemia glass 8232/14(RE) double hole Ruby,
BDC-8232,0014,008,EM,exact (code in ERP name),Emerald,Bohemia glass 8232/14(EM) double hole Emerald,
BDC-8232,0014,009,TO,exact (code in ERP name),double holeTopaz,Bohemia glass 8232/14(TO) double holeTopaz,
BDC-8232,0014,010,LP,exact (code in ERP name),Light Perido,Bohemia glass 8232/14(LP) double hole Light Perido,
BDC-8232,0014,011,VL,exact (code in ERP name),Violet,Bohemia glass 8232/14(VL) double hole Violet,
BDC-8232,0014,012,GT,exact (code in ERP name),Golden Teak,Bohemia glass 8232/14(GT) double hole Golden Teak,
BDC-8232,0014,013,AB,exact (code in ERP name),Blue AB,Bohemia glass 8232/14(AB) double hole Blue AB,
BDC-8232,0014,028,DB,exact (code in ERP name),DarkSapphire,Bohemia glass 8232/14(DB) double hole DarkSapphire,
BDC-8232,0018,002,CL,exact (code in ERP name),Crystal,Bohemia glass 8232/18(CL) double hole Crystal,
BDC-8249,0014,001,BL,exact (code in ERP name),Medium Sapph,Bohemia glass 8249/14(BL) double hole Medium Sapph,
C01,801 114,002,C1,name match (alias),Crystal,Swarovski Spectra #8290/14 one hole Crystal,
