family,size,suffix,app_code,erp_name,ambiguous
BDC-3130,1414,002,,Bohemia heart crystal #3130(14.4x14) Crystal,
BDC-3130,1414,005,,Bohemia heart crystal #3130(14.4x14) Rosaline,
BDC-3130,1414,013,,Bohemia heart crystal #3130(14.4x14) Blue AB,
BDC-8232,0014,001,BL,Bohemia glass 8232/14(BL) double hole Medium Sapph,
BDC-8232,0014,002,C1,Bohemia glass 8232/14(C1) double hole Crystal,
BDC-8232,0014,003,GO,Bohemia glass 8232/14(GO) double hole Amber,
BDC-8232,0014,004,GR,Bohemia glass 8232/14(GR) double hole Aquamarine,
BDC-8232,0014,005,PI,Bohemia glass 8232/14(PI) double hole Rosaline,
BDC-8232,0014,006,PU,Bohemia glass 8232/14(PU) double hole BlueViolet,
BDC-8232,0014,007,RE,Bohemia glass 8232/14(RE) double hole Ruby,
BDC-8232,0014,008,EM,Bohemia glass 8232/14(EM) double hole Emerald,
BDC-8232,0014,009,TO,Bohemia glass 8232/14(TO) double holeTopaz,
BDC-8232,0014,010,LP,Bohemia glass 8232/14(LP) double hole Light Perido,
BDC-8232,0014,011,VL,Bohemia glass 8232/14(VL) double hole Violet,
BDC-8232,0014,012,GT,Bohemia glass 8232/14(GT) double hole Golden Teak,
BDC-8232,0014,013,AB,Bohemia glass 8232/14(AB) double hole Blue AB,
BDC-8232,0014,028,DB,Bohemia glass 8232/14(DB) double hole DarkSapphire,
BDC-8232,0018,002,CL,Bohemia glass 8232/18(CL) double hole Crystal,
BDC-8249,0014,001,BL,Bohemia glass 8249/14(BL) double hole Medium Sapph,
C01,801 114,002,,Swarovski Spectra #8290/14 one hole Crystal,
C01,801 220,002,,Swarovski spectra #8290/20 double hole Crystal,
C01-1028,18,001,,Swarovski PP#1028/18 Sapphire,
C01-1028,18,002,,Swarovski PP#1028/18 Crystal,
C01-1028,18,003,,Swarovski PP#1028/18 Light Topaz,
C01-1028,18,005,,Swarovski PP#1028/18 Rose,
C01-1028,18,008,,Swarovski PP#1028/18 Emerald,
C01-1028,18,009,,Swarovski PP#1028/18 Topaz,
C01-1028,18,013,,Swarovski PP#1028/18 AB.BL,
C01-1028,18,015,,Swarovski PP#1028/18 Amethyst,
C01-1028,18,016,,Swarovski PP#1028/18 Aquamarine,
C01-1028,18,017,,Swarovski PP#1028/18 Blue Zircon,
C01-1028,18,018,,Swarovski PP#1028/18 Garnet,
C01-1028,18,019,,Swarovski PP#1028/18 Light Amethyst,
C01-1028,18,020,,Swarovski PP#1028/18 Peridot,
C01-1028,18,021,,Swarovski PP#1028/18 Ruby,
C01-1028,18,022,,Swarovski PP#1028/18 Siam,
C01-1028,18,023,,Swarovski PP#1028/18 Black Diamond,
C01-1028,18,024,,Swarovski PP#1028/18 Light Colorado Topaz,
C01-1028,18,025,,Swarovski PP#1028/18 Capri Blue,
C01-1028,18,035,,Swarovski PP#1028/18 Fuchsia,
C01-1028,18,037,,Swarovski PP#1028/18 Light Rose,
C01-1028,18,041,,Swarovski PP#1028/18 Vintage Rose,
C01-1028,18,042,,Swarovski PP#1028/18 Jonquil,
C01-1028,18,044,,Swarovski PP#1028/18 Light Peach,
C01-1028,18,046,,Swarovski PP#1028/18 Smoked Topaz,
C01-1028,24,040,,Swarovski PP#1028/24 White Opal,
C01-1028,24,041,,Swarovski PP#1028/24 Vintage Rose,
C01-1028,25,017,,Swarovski PP#1028/25  Blue Zircon,
C01-1028,26,001,,Swarovski PP#1028/26 Sapphire,
C01-1028,26,002,,Swarovski PP#1028/26 Crystal,
C01-1028,26,005,,Swarovski PP#1028/26 Rose,
C01-1028,26,008,,Swarovski PP#1028/26 Emerald,
C01-1028,26,009,,Swarovski PP#1028/26 Topaz,
C01-1028,26,013,,Swarovski PP#1028/26 BL.AB,
C01-1028,26,015,,Swarovski PP#1028/26 Amethyst,
C01-1028,26,016,,Swarovski PP#1028/26 Aquamarine,
C01-1028,26,017,,Swarovski PP#1028/26 Blue Zircon,
C01-1028,26,018,,Swarovski PP#1028/26 Garnet,
C01-1028,26,019,,Swarovski PP#1028/26 Light Amethyst,
C01-1028,26,020,,Swarovski PP#1028/26 Peridot,
C01-1028,26,021,,Swarovski PP#1028/26 Ruby,
C01-1028,26,022,,Swarovski PP#1028/26 Siam,
