base_code,mix_code,design,format,source,design_name
D0001-001-G,M1,0001,001,UNDEFINED,Swallowtail Butterfly
D0001-001-G,M3,0001,001,UNDEFINED,Swallowtail Butterfly
D0001-001-G,MX,0001,001,UNDEFINED,Swallowtail Butterfly
D0003-001-C,AX,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-C,GX,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-C,M1,0003,001,other plating,Mini Angeliwing Butterfly Freestand
D0003-001-C,M2,0003,001,other plating,Mini Angeliwing Butterfly Freestand
D0003-001-C,M3,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-C,MX,0003,001,other plating,Mini Angeliwing Butterfly Freestand
D0003-001-G,AX,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-G,GX,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-G,M3,0003,001,UNDEFINED,Mini Angeliwing Butterfly Freestand
D0003-001-G,M4,0003,001,other plating,Mini Angeliwing Butterfly Freestand
D0006-001-C,GX,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-C,M1,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-C,M2,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-G,AX,0006,001,other plating,Mini Hummingbird Freestand
D0006-001-G,GX,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-G,M1,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-G,M2,0006,001,UNDEFINED,Mini Hummingbird Freestand
D0006-001-G,MX,0006,001,other plating,Mini Hummingbird Freestand
D0006-230-C,AX,0006,230,other format,Mini Hummingbird with Crystal Bible
D0006-230-C,GX,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-C,M1,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-C,M2,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-C,MX,0006,230,other format,Mini Hummingbird with Crystal Bible
D0006-230-G,AX,0006,230,other format,Mini Hummingbird with Crystal Bible
D0006-230-G,GX,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-G,M1,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-G,M2,0006,230,UNDEFINED,Mini Hummingbird with Crystal Bible
D0006-230-G,MX,0006,230,other format,Mini Hummingbird with Crystal Bible
D0006-236-C,AX,0006,236,other format,Mini Hummingbird Music Box (Wood Body)
D0006-236-C,GX,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-C,M1,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-C,M2,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-C,MX,0006,236,other format,Mini Hummingbird Music Box (Wood Body)
D0006-236-G,AX,0006,236,other format,Mini Hummingbird Music Box (Wood Body)
D0006-236-G,GX,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-G,M1,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-G,M2,0006,236,UNDEFINED,Mini Hummingbird Music Box (Wood Body)
D0006-236-G,MX,0006,236,other format,Mini Hummingbird Music Box (Wood Body)
D0007-001-G,AX,0007,001,other plating,Mini fantail Hummingbird
D0008-001-C,MX,0008,001,UNDEFINED,Dove
D0010-001-C,MX,0010,001,UNDEFINED,Sacred Angel(Hymn Book)
D0010-001-G,MX,0010,001,UNDEFINED,Sacred Angel(Hymn Book)
D0011-001-C,MX,0011,001,other plating,Sacred Angel(Lyre)
D0014-001-C,AX,0014,001,UNDEFINED,Guardian Angel Freestand
D0014-001-G,GX,0014,001,UNDEFINED,Guardian Angel Freestand
D0018-001-G,MX,0018,001,UNDEFINED,Flying Angel(Trumpet)
D0020-001-G,MX,0020,001,other plating,Flying Angel(Dove)
D0022-001-C,AX,0022,001,UNDEFINED,Mini Sacred Angel(Cross)
D0022-001-C,GX,0022,001,UNDEFINED,Mini Sacred Angel(Cross)
D0022-001-C,M1,0022,001,UNDEFINED,Mini Sacred Angel(Cross)
D0022-001-C,M2,0022,001,UNDEFINED,Mini Sacred Angel(Cross)
