design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0001,001,D,G,octagon 2h,14,4.0,2,yes,BDC-8232
0002,001,D,C,chaton,18,2.0,3,yes,C01-1028
0002,001,D,C,octagon 2h,14,2.0,3,yes,BDC-8232
0002,001,D,G,chaton,18,2.0,1,yes,C01-1028
0002,001,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0002,230,D,C,chaton,18,2.0,1,yes,C01-1028
0002,230,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0003,001,D,C,chaton,18,10.0,4,yes,C01-1028
0003,001,D,C,octagon 2h,14,2.0,4,yes,BDC-8232
0003,001,D,G,chaton,18,10.0,5,yes,C01-1028
0003,001,D,G,octagon 2h,14,2.0,5,yes,BDC-8232
0005,001,M,C,chaton,32,1.0,2,yes,C01-1028
0005,001,M,C,octagon 2h,14,2.0,2,yes,BDC-8232
0005,001,M,C,oval 2h,20,1.0,2,yes,C01-8102
0005,001,M,G,chaton,32,1.0,1,yes,C01-1028
0005,001,M,G,octagon 2h,14,2.0,1,yes,BDC-8232
0005,001,M,G,oval 2h,20,1.0,1,yes,C01-8102
0006,001,A,C,chaton,18,2.0,1,yes,C01-1028
0006,001,A,C,octagon 2h,14,2.0,1,yes,C01-1080
0006,001,D,C,chaton,18,2.0,3,yes,C01-1028
0006,001,D,C,octagon 2h,14,2.0,3,yes,BDC-8232
0007,001,D,C,chaton,18,2.0,1,yes,C01-1028
0007,001,D,C,octagon 2h,14,3.0,1,yes,BDC-8232
0008,001,D,C,chaton,18,8.0,4,yes,C01-1028
0008,001,D,C,octagon 2h,14,3.0,4,yes,BDC-8232
0009,001,D,C,octagon 2h,14,6.0,1,yes,BDC-8232
0009,001,D,G,octagon 2h,14,6.0,2,yes,BDC-8232
0011,001,D,G,octagon 2h,14,5.0,2,yes,BDC-8232
0014,001,M,C,octagon 1h,14,1.0,2,yes,C01-8115
0014,001,M,C,octagon 2h,14,2.0,2,yes,BDC-8232
0014,001,M,G,octagon 1h,14,1.0,1,yes,C01-8115
0014,001,M,G,octagon 2h,14,2.0,1,yes,BDC-8232
0014,230,M,G,octagon 1h,14,1.0,1,yes,C01-8115
0014,230,M,G,octagon 2h,14,2.0,1,yes,BDC-8232
0014,236,M,G,octagon 1h,14,1.0,1,yes,C01-8115
0014,236,M,G,octagon 2h,14,2.0,1,yes,BDC-8232
0017,001,M,C,octagon 1h,14,1.0,2,yes,C01-8115
0017,001,M,C,octagon 2h,14,2.0,2,yes,BDC-8232
0017,001,M,G,octagon 1h,14,1.0,1,yes,C01
0017,001,M,G,octagon 2h,14,2.0,1,yes,BDC-8232
0018,001,D,G,chaton,18,3.0,1,yes,C01-1028
0018,001,D,G,octagon 2h,14,5.0,1,yes,BDC-8232
0019,001,D,G,chaton,18,3.0,2,yes,C01-1028
0019,001,D,G,octagon 2h,14,5.0,2,yes,BDC-8232
0020,001,D,C,chaton,18,3.0,1,yes,C01-1028
0020,001,D,C,octagon 2h,14,5.0,1,yes,BDC-8232
0022,001,D,G,chaton,18,1.0,3,yes,C01-1028
0022,001,D,G,chaton,26,2.0,3,yes,C01-1028
0022,001,D,G,octagon 2h,14,2.0,3,yes,BDC-8232
0023,001,D,C,chaton,26,3.0,5,yes,C01-1028
0023,001,D,C,octagon 2h,14,2.0,5,yes,BDC-8232
0023,001,D,G,chaton,26,3.0,5,yes,C01-1028
0023,001,D,G,octagon 2h,14,2.0,5,yes,BDC-8232
0023,230,D,C,chaton,26,3.0,2,yes,C01-1028
0023,230,D,C,octagon 2h,14,2.0,2,yes,BDC-8232
0023,236,D,C,chaton,26,3.0,1,yes,C01-1028
0023,236,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0025,001,D,C,chaton,18,1.0,1,yes,C01-1028
0025,001,D,C,chaton,25,2.0,1,yes,C01-1028
0025,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0025,001,D,G,chaton,18,1.0,4,yes,C01-1028
0025,001,D,G,chaton,26,2.0,4,yes,C01-1028
0025,001,D,G,octagon 2h,14,2.0,4,yes,BDC-8232
0026,001,D,C,octagon 2h,14,5.0,3,yes,BDC-8232
0026,001,D,G,octagon 2h,14,5.0,2,yes,BDC-8232
0027,001,A,C,octagon 2h,14,2.0,1,yes,C01-1080
