design,format,name,status,classification,app_pcs,app_cbm,app_box,sheet_options,sheet_pcs,sheet_cbm,sheet_box,sheet_weight_ctn,sheet_carton_dims
0001,001,Swallowtail Butterfly,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3,28.5 x 28 x 20.5 CM
0002,001,Mini Butterfly Freestand,active,identical,96,0.0165,P-PB001ROS-02-01,1,96,0.0165,P-PB001ROS-02-01,3.7,32.6 x 28.5 x 17.8 CM
0002,230,Mini Butterfly with Crystal Bible,active,not in sheet,48,,,0,,,,,
0002,236,Mini Butterfly Music Box (Wood Body),active,not in sheet,36,0.0358,P-PB006,0,,,,,
0003,001,Mini Angeliwing Butterfly Freestand,active,reference upgrade + multi-option,96,0.0165,PB001,2,90 | 96,0.0349 | 0.0165,P-GB001A00-06-06 | P-PB001ROS-02-01, | 3.7, | 32.6 x 28.5 x 17.8 CM
0004,001,Original Hummingbird,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.4,33 x 32.5 x 23 CM
0005,001,Fantail Hummingbird,stock,identical,48,0.0358,P-PB006ROS-02-01,1,48,0.0358,P-PB006ROS-02-01,3.3,37.5 x 27.3 x 35 CM
0006,001,Mini Hummingbird Freestand,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.5,28.5 x 28 x 20.5 CM
0006,230,Mini Hummingbird with Crystal Bible,stock,not in sheet,48,0.0358,P-PB006ROS-02-01,0,,,,,
0006,236,Mini Hummingbird Music Box (Wood Body),stock,not in sheet,48,0.0358,P-PB006ROS-02-01,0,,,,,
0007,001,Mini fantail Hummingbird,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.8,32.6 x 28.5 x 17.8 CM
0008,001,Dove,stock,identical + multi-option,96,0.0165,P-PB001ROS-02-01,3,48 | 90 | 96,0.0494 | 0.0349 | 0.0165,P-PB035-02-01 | P-GB001A00-06-06 | P-PB001ROS-02-01,4 |  | 3.8, |  | 32.6 x 28.5 x 17.8 CM
0009,001,Sacred Angel Freestand,active,identical,36,0.0516,P-PB010ROS-02-01,1,36,0.0516,P-PB010ROS-02-01,4.9,
0010,001,Sacred Angel(Hymn Book),stock,identical,36,0.0516,P-PB010ROS-02-01,1,36,0.0516,P-PB010ROS-02-01,4.9,
0011,001,Sacred Angel(Lyre),stock,identical,36,0.0516,P-PB010ROS-02-01,1,36,0.0516,P-PB010ROS-02-01,4.9,
0014,001,Guardian Angel Freestand,active,identical + multi-option,96,0.0337,P-PB007ROS-02-01,2,48 | 96,0.0289 | 0.0337,P-PB027ROS-02-11 | P-PB007ROS-02-01,3 | , | 37.5 x 29.5 x 30.5CM
0014,230,Guardian Angel with Crystal Bible,active,not in sheet,48,,,0,,,,,
0014,236,Guardian Angel Music Box (Wood Body),active,not in sheet,48,,P-PB006ROS-02-01,0,,,,,
0015,001,Guardian Angel(Heart),stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,,37.5 x 29.5 x 30.5CM
0015,242,Black Crystal Fine Rock Fabric (1.5mm rhinestones) Magsafe Wallet Stand,active,not in sheet,48,,,0,,,,,
0017,001,Guardian Angel(Star),stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,,37.5 x 29.5 x 30.5CM
0018,001,Flying Angel(Trumpet),stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.66,28.5 x 28 x 20.5 CM
0019,001,Flying Angel(Heart),stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.66,28.5 x 28 x 20.5 CM
0020,001,Flying Angel(Dove),stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.66,28.5 x 28 x 20.5 CM
0022,001,Mini Sacred Angel(Cross),stock,VALUE CHANGE,96,0.0165,PB001,1,96,0.0337,P-PB007ROS-02-01,4.2,37.5 x 29.5 x 30.5CM
0023,001,Mini Sacred Angel Freestand,active,VALUE CHANGE,96,0.0165,PB001,1,96,0.0337,P-PB007ROS-02-01,4.2,37.5 x 29.5 x 30.5CM
0023,230,Mini Sacred Angel with Crystal Bible,active,not in sheet,48,,,0,,,,,
0023,236,Mini Sacred Angel Music Box (Wood Body),active,not in sheet,36,0.0358,PB006,0,,,,,
0024,001,Mini Sacred Angel(Dove),stock,VALUE CHANGE,96,0.0165,PB001,1,96,0.0337,P-PB007ROS-02-01,4.2,37.5 x 29.5 x 30.5CM
0025,001,Mini Sacred Angel(Star),stock,VALUE CHANGE,96,0.0165,PB001,1,96,0.0337,P-PB007ROS-02-01,4.2,37.5 x 29.5 x 30.5CM
0026,001,Swan Freestand,active,identical + multi-option,48,0.0247,P-PB002ROS-02-01,2,12 | 48,0.048 | 0.0247,P-GB028M02 | P-PB002ROS-02-01,10.8 | 3.7, | 33 x 32.5 x 23 CM
0026,236,Swan Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0027,001,Mini Swan Freestand,active,VALUE CHANGE + multi-option,48,0.0419,P-PB035-02-01,3,48 | 90 | 96,0.0494 | 0.0349 | 0.0165,P-PB035-02-01 | P-GB001A00-06-06 | P-PB001ROS-02-01,4.3 |  | 3.7, |  | 32.6 x 28.5 x 17.8 CM
0027,236,Mini Swan Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0028,001,Eagle Freestand,active,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.3,33 x 32.5 x 23 CM
